"","Species","TotalCount","TotalPlots","shape","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_low_85","Year_up_85","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Year_Per_Change_low85","Year_Per_Change_upper85","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Fire_Year_Per_Change_low85","Fire_Year_Per_Change_upper85","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOpe_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model"
"1","Euonymus americanus",94,46,0.866,-3.432,0.248,0.059,0.141,0.375,0.168,0.339,1.2815,1.1514,1.455,1.1829,1.4035,0,1,-106.089,87.423,0,-750.391,-13.806,1,0,0.1967,12.51,-49.544,56.922,1.56,0,6.93218755295686e+24,0,2078248398635.46,0.493,0.507,0.483,0.517,0.974,0.026,"NB"
"2","Kalmia latifolia",317,68,2.858,-4.235,-0.029,0.031,-0.091,0.034,-0.074,0.017,0.9714,0.913,1.0346,0.9287,1.0171,0.822,0.178,0.297,1.902,1.35,-3.633,4.082,0.437,0.563,-0.587,0.174,-0.983,-0.286,0.5401,0.3655,0.7258,0.41,0.6745,1,0,1,0,0.032,0.968,"NB"
"3","Lyonia ligustrina",307,48,1.002,-4.637,0.2691,0.057,0.164,0.399,0.191,0.361,1.3088,1.1782,1.4903,1.2105,1.4348,0,1,3.49,1.601,32.79,0.402,6.92,0.013,0.987,0.0863,0.164,-0.223,0.462,1.4268,1.0783,2.0715,1.1576,1.8397,0.294,0.706,0.007,0.993,0.067,0.933,"NB"
"4","All",889,171,1.028,-0.678,0.1041,0.026,0.054,0.157,0.067,0.142,1.1097,1.0555,1.17,1.0693,1.1526,0,1,1.963,0.819,7.12,0.379,3.596,0.007,0.993,-0.0574,0.089,-0.232,0.121,1.0478,0.8888,1.2442,0.9282,1.1874,0.74,0.26,0.288,0.712,0.008,0.992,"NB"
"5","Vaccinium",101,36,0.435,-4.112,0.2341,0.082,0.085,0.413,0.123,0.361,1.2638,1.0887,1.5113,1.1309,1.4348,0.001,0.999,3.261,1.273,26.08,0.836,6.013,0.004,0.996,0.2274,0.235,-0.21,0.789,1.5865,1.071,2.7747,1.1844,2.3058,0.155,0.845,0.011,0.989,0.174,0.826,"NB"
