"","Species","Start_NoFire_Mean","Start_NoFire_Low","Start_NoFire_High","Start_Fire_Mean","Start_Fire_Low","Start_Fire_High","Start_NoFire_Mean_HA","Start_NoFire_Low_Ha","Start_NoFire_High_Ha","Start_Fire_Mean_HA","Start_Fire_Low_Ha","Start_Fire_High_Ha"
"2","Vaccinium",0.642,0.34,1.405,3.247,1.832,5.64,75.69,40.08,165.64,382.8,215.98,664.91
"1","Lyonia ligustrina",0.007,0.001,0.075,1.003,0.25,4.587,0.83,0.12,8.84,118.25,29.47,540.77
