"","Species","TotalCount","TotalPlots","shape","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_low_85","Year_up_85","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Year_Per_Change_low85","Year_Per_Change_upper85","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Fire_Year_Per_Change_low85","Fire_Year_Per_Change_upper85","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOpe_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model"
"2","Vaccinium",368,103,NA,-3.469,0.0014,0.018,-0.034,0.036,-0.024,0.027,1.0014,0.9666,1.0367,0.9763,1.0274,0.471,0.529,3.834,1.332,46.25,1.253,6.626,0.002,0.998,0.0495,0.04,-0.029,0.129,1.0522,0.9803,1.1299,0.9992,1.1084,0.109,0.891,0.078,0.922,0.004,0.996,"Poisson"
"1","Lyonia ligustrina",70,15,5.161,-8.363,0.1775,0.119,-0.041,0.445,0.015,0.366,1.1942,0.9598,1.5605,1.0151,1.442,0.057,0.943,7.136,2.043,1256.39,3.76,12.689,0,1,0.0599,0.152,-0.274,0.369,1.2679,1.0423,1.5973,1.1088,1.478,0.347,0.653,0.012,0.988,0,1,"NB"
